identifier,xepdf_SSIM,xepdf_CWSSIM,xepdf_ORB_minkps,xepdf_ORB_maxkps,xepdf_ORB_MAX,xepdf_ORB,xepdf_SIFT_minkps,xepdf_SIFT_maxkps,xepdf_SIFT_MAX,xepdf_SIFT,xelua_SSIM,xelua_CWSSIM,xelua_ORB_minkps,xelua_ORB_maxkps,xelua_ORB_MAX,xelua_ORB,xelua_SIFT_minkps,xelua_SIFT_maxkps,xelua_SIFT_MAX,xelua_SIFT
2306.01691_cmp-3,0.8820452450157308,0.9109017709674597,1000,1000,0.692,0.692,1000,1001,0.6533466533466533,0.654,0.7675792109959948,0.7699066380302088,1000,1000,0.649,0.649,1000,1000,0.574,0.574
2306.01691_cmp3,0.7074808263311222,0.7259797633114786,1000,1000,0.455,0.455,1000,1001,0.5014985014985015,0.502,0.5303677068973507,0.5277069029047825,1000,1000,0.423,0.423,1001,1001,0.45854145854145856,0.45854145854145856
2306.01691_cmp2,0.5526602149966058,0.5493220864044301,1000,1000,0.384,0.384,1000,1001,0.4145854145854146,0.415,0.5477333756906608,0.5386484769537077,1000,1000,0.389,0.389,1000,1001,0.4095904095904096,0.41
2306.01691_cmp1,0.8776833266445938,0.8931565787016432,1000,1000,0.666,0.666,1000,1000,0.719,0.719,0.8933083652116149,0.9122875517050671,1000,1000,0.844,0.844,1000,1000,0.787,0.787
2306.01691_cmp-2,0.7013768776087411,0.7289152764433776,1000,1000,0.454,0.454,1000,1000,0.495,0.495,0.4010490087948478,0.40740777600824385,1000,1000,0.359,0.359,1000,1001,0.45554445554445555,0.456
2306.01691_cmp-1,0.9048826468753545,0.9195924300863311,1000,1000,0.455,0.455,1001,1001,0.5564435564435565,0.5564435564435565,0.8607773757535132,0.8410978510108426,1000,1000,0.353,0.353,1000,1001,0.36063936063936064,0.361
2306.00004_cmp1,0.9657893015270298,0.9716363872150583,1000,1000,0.63,0.63,1000,1000,0.674,0.674,0.9950556461115662,0.995575617020506,1000,1000,0.928,0.928,1000,1000,0.887,0.887
2306.00004_cmp-1,0.9836306899425509,0.9869510297289762,1000,1000,0.505,0.505,321,343,0.4314868804664723,0.46105919003115264,0.9999805347473696,0.9999701383625873,1000,1000,0.971,0.971,321,323,0.9752321981424149,0.9813084112149533
2306.00004_cmp-2,0.7470078046213943,0.7115783581802373,1000,1000,0.393,0.393,1000,1001,0.35064935064935066,0.351,0.9990926974472257,0.9973605907609349,1000,1000,0.879,0.879,1000,1000,0.916,0.916
2306.00004_cmp2,0.9483639822530168,0.9496282588791342,1000,1000,0.682,0.682,1000,1001,0.7092907092907093,0.71,0.9922470353435681,0.9945773521991546,1000,1000,0.801,0.801,1000,1001,0.7842157842157842,0.785
2306.00004_cmp3,0.9942546318278286,0.9824887189273727,1000,1000,0.767,0.767,1000,1000,0.714,0.714,0.9960693472551694,0.997110326423521,1000,1000,0.842,0.842,1000,1000,0.867,0.867
2306.00004_cmp-3,0.7638580137108423,0.7800307628112435,1000,1000,0.349,0.349,1000,1001,0.34265734265734266,0.343,0.9993501762364171,0.9982782579707964,1000,1000,0.879,0.879,1000,1001,0.8991008991008991,0.9
2306.00207_cmp3,0.9458807038608915,0.9506884557210574,1000,1000,0.74,0.74,1001,1002,0.7285429141716567,0.7292707292707292,0.5223105908807933,0.4600141010811057,1000,1000,0.431,0.431,1001,1002,0.49201596806387227,0.4925074925074925
2306.00207_cmp-2,0.8055194253833735,0.9293623849593076,1000,1000,0.545,0.545,1000,1000,0.664,0.664,0.9234752966329965,0.9348540077959803,1000,1000,0.698,0.698,1000,1000,0.774,0.774
2306.00207_cmp2,0.9276559524920471,0.909942948907101,1000,1000,0.529,0.529,1000,1001,0.5654345654345654,0.566,0.5294501086188402,0.4664833568265435,1000,1000,0.342,0.342,1001,1002,0.4281437125748503,0.42857142857142855
2306.00207_cmp-1,0.8980546596734038,0.9707091037941407,1000,1000,0.525,0.525,1000,1000,0.587,0.587,0.9994381964422413,0.9993760459603627,1000,1000,0.973,0.973,1000,1000,0.984,0.984
2306.00207_cmp1,0.9783566888903503,0.9737417656818239,1000,1000,0.869,0.869,1000,1001,0.8031968031968032,0.804,0.7238941230923309,0.6578253308496078,1000,1000,0.709,0.709,1000,1000,0.596,0.596
2306.00207_cmp-3,0.9534770004118152,0.9443093032191,1000,1000,0.666,0.666,1000,1001,0.6403596403596403,0.641,0.9269958262181598,0.9384345661014957,1000,1000,0.651,0.651,1000,1001,0.8171828171828172,0.818
2306.00002_cmp-3,0.9998785409916421,0.9998913525608816,1000,1000,0.93,0.93,636,639,0.974960876369327,0.9795597484276729,1.0,1.0,1000,1000,1.0,1.0,636,636,1.0,1.0
2306.00002_cmp3,0.9772512464226568,0.9873529532646425,1000,1000,0.772,0.772,1000,1001,0.7562437562437563,0.757,0.9979833174276929,0.9986014172303893,1000,1000,0.962,0.962,1000,1000,0.966,0.966
