arxiv_id,entrypoint,documentclass,docclass_params,pdflatex,lualatex,xelatex,xe<>pdf,xe<>lua
2306.00345,General_Stopping-time_Fluctuation_Theorems_PRL.tex,revtex4-2,"[aps,prl,twocolumn]",12.0,12.0,12.0,False,False
2306.00184,paper.tex,siamltex,"[final,leqno,onefignum,onetabnum]",0.0,0.0,0.0,False,False
2306.07731,OrderPresentation.tex,amsart,"[reqno, 11pt, figuresright]",0.0,12.0,12.0,False,False
2306.00389,main.tex,article,,0.0,0.0,0.0,False,False
2306.08110,ISEEquiv.tex,article,"[12pt,a4paper]",0.0,0.0,0.0,False,False
2306.02281,CondensatioNegativeMass.tex,revtex4-2,"[prb,twocolumn,superscriptaddress,preprintnumbers,amsmath,amssymb,nofootinbib,floatfix,longbibliography]",0.0,0.0,0.0,False,False
2306.00146,main.tex,revtex4-2,"[amsmath,amssymb,prl,superscriptaddress,twocolumn]",,,,False,False
2306.00710,setValuedAnalysisBC_3.tex,amsart,[11pt],0.0,12.0,12.0,False,False
2306.01863,main.tex,nature,,0.0,0.0,0.0,False,False
2306.00179,main.tex,macro/neu_msthesis,[],,12.0,12.0,False,False
2306.00717,paper.tex,IEEEtran,"[12pt, draftclsnofoot, onecolumn]",0.0,0.0,0.0,False,False
2306.00141,Master.tex,amsart,"[oneside,a4paper,english, 11pt]",12.0,12.0,12.0,False,False
2306.00373,geom_symp.tex,amsart,[12pt],12.0,12.0,12.0,False,False
2306.00387,2306.00387,amsart,[12pt],0.0,12.0,0.0,False,False
2306.01403,Doublereplica.tex,revtex4-2,"[%reprint,superscriptaddress,amsmath,amssymb,prl,]",0.0,0.0,0.0,False,False
2306.00916,LS_category.tex,amsart,[11pt],12.0,12.0,12.0,False,False
2306.15291,clhampton-10janv08-ed-2023.tex,article,"[12pt,a4paper,twoside,final,notitlepage]",0.0,0.0,0.0,False,False
2306.00743,2306.00743,article,[12pt],0.0,0.0,0.0,False,False
2306.01691,main.tex,acmart,"[authorversion,manuscript,screen,acmtog]",0.0,0.0,0.0,False,False
2306.00327,one-two-way.tex,amsart,[11pt],0.0,0.0,0.0,False,False
2306.09408,ZGN_RMT.tex,revtex4-1,"[aip,amsmath,amssymb,reprint,]",0.0,0.0,0.0,False,False
2306.03763,templateArxiv.tex,article,,0.0,0.0,0.0,False,False
2306.00329,2306.00329,article,[11pt],0.0,0.0,0.0,False,False
2306.00927,text.tex,article,,,,0.0,False,False
2306.00123,LaserWriting_paper.tex,revtex4-2,"[%aps, %apsamsmath,amssymb,preprint,%]",12.0,12.0,12.0,False,False
2306.01402,main.tex,revtex4-2,"[amsmath,amssymb,aps,prb,english,showkeys,twocolumn]",12.0,12.0,12.0,False,False
2306.00372,main.tex,IEEEtran,[journal],0.0,0.0,0.0,False,False
2306.01092,main.tex,IEEEtran,"[journal,twocolumn]",,12.0,12.0,False,False
2306.00147,main.tex,IEEEtran,[journal],12.0,12.0,12.0,False,False
2306.03399,supplement.tex,article,[10pt],0.0,0.0,0.0,False,False
2306.00178,GQ_Modave2002.tex,article,[12pt],12.0,12.0,12.0,False,False
2306.00727,2306.00727,amsart,"[a4paper,10pt,leqno]",0.0,12.0,0.0,False,False
2306.00343,2306.00343,IEEEtran,"[lettersize,journal]",0.0,0.0,0.0,False,False
2306.00718,elsarticle-template-harv-clean.tex,elsarticle,"[final,3p,times,authoryear]",0.0,0.0,0.0,False,False
2306.00388,mnras_template.tex,mnras,"[fleqn,usenatbib]",0.0,0.0,0.0,False,False
2306.00182,main.tex,amsart,"[11pt,reqno]",12.0,12.0,12.0,False,False
2306.00512,POF2023.tex,revtex4-1,"[aps,pof,reprint,10pt,superscriptaddress,showpacs]",0.0,0.0,0.0,False,False
2306.00981,main.tex,revtex4-2,"[aps,prl,reprint,superscriptaddress,floatfix]",12.0,12.0,12.0,False,False
2306.00149,online_Sq_cumulativeV9-arxiv.tex,IEEEtran,"[12pt,draftcls,onecolumn]",12.0,12.0,12.0,False,False
2306.00921,main.tex,revtex4-2,"[%reprint,superscriptaddress,amsmath,amssymb,aps,prper]",12.0,12.0,0.0,False,False
2306.02681,aps_bb_skb.tex,revtex4-2,"[%reprint,superscriptaddress,amsmath,amssymb,aps,prstab,]",12.0,12.0,12.0,False,False
2306.01838,Core_of_homotopy_classes_in_H_1.tex,article,,12.0,12.0,12.0,False,False
2306.00122,main.tex,article,,0.0,0.0,0.0,False,False
2306.00773,paper.tex,agujournal2019,[draft],12.0,12.0,12.0,False,False
2306.00125,ColoringPC-single-file.tex,article,"[11pt,twoside,a4paper]",0.0,12.0,0.0,False,False
2306.04327,GSI-038.tex,llncs,[runningheads],0.0,0.0,0.0,False,False
2306.11061,main.tex,article,"[a4paper, 12pt]",0.0,0.0,0.0,False,False
2306.00113,2306.00113,amsart,"[a4paper, 11pt]",0.0,12.0,0.0,False,False
2306.01663,QST_cone20230711.tex,amsart,"[12pt,a4paper,oneside]",12.0,12.0,12.0,False,False
2306.01372,2306.01372,amsart,"[11pt,reqno]",0.0,0.0,0.0,False,False
2306.00059,vandesande_geckos_iau377_arxiv.tex,iau,,0.0,12.0,12.0,False,False
2306.01515,main_v9.tex,iopart,[12pt],0.0,0.0,0.0,False,False
2306.07888,main.tex,acmart,"[sigconf,natbib=false]",12.0,12.0,12.0,False,False
2306.00057,mainarXivSubmission.tex,revtex4-1,"[pra,english,reprint, aps,superscriptaddress, nofootinbib]",0.0,12.0,12.0,False,False
2306.02156,main.tex,IEEEtran,[conference],12.0,12.0,12.0,False,False
2306.02169,probabilistic_solar_proxy_forecasting_with_neural_network_ensembles.tex,agujournal2019,[draft],0.0,0.0,0.0,False,False
2306.01388,main.tex,acmart,"[sigconf, nonacm, amssymb]",0.0,0.0,0.0,False,False
2306.00050,draft.tex,article,[11pt],12.0,12.0,12.0,False,False
2306.00296,2306.00296,article,[11pt],0.0,0.0,0.0,False,False
2306.00853,main.tex,article,[11pt],0.0,0.0,0.0,False,False
2306.00209,paper-exponential-integrability.tex,amsart,[11pt],0.0,0.0,0.0,False,False
2306.07013,RiPO.tex,ecai,,0.0,0.0,0.0,False,False
2306.00236,2D-model-draft.tex,article,[12pt],12.0,12.0,12.0,False,False
2306.00004,main_cav23_version.tex,llncs,,0.0,0.0,0.0,False,False
2306.00493,Spreclones_Part_I-arXiv-V2.tex,article,"[12pt,fleqn]",0.0,0.0,0.0,False,False
2306.00003,main.tex,jmlr,[pmlr],12.0,12.0,12.0,False,False
2306.00655,manuscripts.tex,NST,[submitting],12.0,12.0,12.0,False,False
2306.01745,output.tex,article,,0.0,0.0,0.0,False,False
2306.00207,2306.00207,amsart,"[a4paper,11pt]",0.0,12.0,0.0,False,False
2306.00469,HiQR_v2.tex,elsarticle,"[preprint,authoryear,11pt]",12.0,12.0,12.0,False,False
2306.00032,paper.tex,article,,12.0,12.0,12.0,False,False
2306.00456,RRZ.tex,CUP-JNL-JMJ,[cupthm],0.0,0.0,0.0,False,False
2306.10630,MainText_MePTCDI.tex,achemso,"[journal=jacsat,manuscript=article]",0.0,0.0,0.0,False,False
2306.00263,pasj2.tex,pasj01,,0.0,0.0,0.0,False,False
2306.00051,main.tex,revtex4-2,"[prl,twocolumn,nofootinbib,nobibnotes,noeprint,preprintnumbers,floatfix]",0.0,0.0,0.0,False,False
2306.00056,Main.tex,revtex4-2,"[twocolumn,superscriptaddress,floatfix,preprintnumbers,prl ,nofootinbib,hyperref]",12.0,12.0,12.0,False,False
2306.00264,main.tex,sagej,"[Afour,sageh,times]",0.0,0.0,0.0,False,False
2306.00432,arxiv.tex,article,"[11pt, letterpaper, USenglish]",12.0,12.0,12.0,False,False
2306.00060,nitrogen_aurora.tex,mnras,"[a4paper,useAMS,usenatbib]",12.0,12.0,12.0,False,False
2306.00094,main.tex,elsarticle,[3p],12.0,12.0,12.0,False,False
2306.06151,main.tex,opticajnl,"[9pt,twocolumn,twoside]",0.0,0.0,0.0,False,False
2306.03275,EE2.tex,revtex4-2,"[reprint,nofootinbib,amsmath,amssymb,aps,showpacs]",12.0,12.0,12.0,False,True
2306.02708,Final_arxiv.tex,amsart,"[12pt,centertags,reqno]",12.0,12.0,12.0,False,False
2306.00299,main.tex,article,,0.0,0.0,0.0,False,False
2306.01179,main.tex,svproc,,0.0,0.0,0.0,False,False
2306.00093,Discrete-q-Exponential-Arxiv.tex,article,,12.0,12.0,12.0,False,False
2306.00403,main.tex,cas-dc,"[a4paper,fleqn]",0.0,0.0,0.0,False,False
2306.03888,NewtonPolytope_CSC_Submission.tex,amsart,[10pt],0.0,12.0,0.0,False,False
2306.00631,exotic_eig.tex,amsart,[12pt],12.0,12.0,12.0,False,False
2306.13226,Toom-obit.tex,memoir,[11pt],12.0,12.0,12.0,False,False
2306.09175,two_way_interactions.tex,article,,0.0,0.0,0.0,False,False
2306.00691,ACTIVE_ACOUSTIC_UNITCELL.tex,revtex4-2,"[reprint,superscriptaddress,frontmatterverbose,amsmath,amssymb,prapplied,floatfix,nofootinbib,longbibliography]",0.0,0.0,0.0,False,False
2306.02764,arxiv.tex,elsarticle,"[preprint,12pt]",0.0,0.0,0.0,False,False
2306.00033,2306.00033,article,"[11pt,twoside]",0.0,0.0,0.0,False,False
2306.09186,0_lpac-paper_arXiv.tex,article,"[a4paper,9pt,twocolumn]",0.0,0.0,0.0,False,False
2306.04209,main.tex,revtex4-1,"[amsmath,nobibnotes,aps,superscriptadress,amssymb,pra,aps,showpacs,superscriptaddress, twocolumn]",12.0,12.0,12.0,False,False
2306.00034,MBZUAI-main.tex,book,"[letterpaper,12pt,titlepage,oneside,final]",0.0,0.0,0.0,False,False
2306.09529,SandholtzTai_HouseSwappingObjectiveIndifferences.tex,article,[],12.0,12.0,12.0,False,False
2306.00230,main.tex,elsarticle,"[5p, twocolumn, times, sort&compress]",0.0,0.0,0.0,False,False
2306.00002,worton.tex,elsarticle,"[preprint,12pt,3p]",0.0,0.0,0.0,False,False
2306.00466,Conference.tex,IEEEtran,[conference],12.0,12.0,12.0,False,False
2306.16731,paper.tex,article,"[twoside,leqno,twocolumn]",0.0,0.0,0.0,False,False
2306.01920,example_paper.tex,article,,0.0,12.0,0.0,False,False
2306.00653,2306.00653,amsart,,12.0,12.0,12.0,False,False
2306.00461,main.tex,article,[letterpaper],12.0,12.0,12.0,False,False
2306.00005,acl2023.tex,article,[11pt],0.0,0.0,0.0,False,False
2306.00237,chimera_NN_vs1.tex,revtex4-2,"[prx,twocolumn,amsmath,noshowkeys,noshowpacs,amssymb]",12.0,12.0,12.0,False,False
2306.03490,anchor-ap-arxiv.tex,llncs,"[runningheads,envcountsame,envcountsect,11pt,a4paper]",12.0,12.0,12.0,False,False
2306.00215,SModularTransformations.tex,amsart,,12.0,12.0,12.0,False,False
2306.00027,main.tex,IEEEtran,"[10pt,conference]",0.0,0.0,12.0,False,False
2306.02925,main.tex,article,,0.0,0.0,0.0,False,False
2306.00224,thermal_odd_viscous_droplets_SI_no_blue.tex,revtex4-2,"[%amsmath,amssymb,aps,10.5pt]",0.0,0.0,0.0,False,False
2306.00029,templateArxiv.tex,article,,12.0,12.0,12.0,False,False
2306.01933,MRM-AMA.tex,MRM,"[AMA,STIX2COL,Linenumbersoff]",0.0,0.0,0.0,False,False
2306.00475,Phase_transition_in_MGs_ver5.tex,elsarticle,[],0.0,0.0,0.0,False,False
2306.16346,combined.tex,article,,0.0,12.0,12.0,False,False
2306.00678,main.tex,revtex4-2,"[%reprint,amsmath,amssymb,aps,]",12.0,12.0,12.0,False,False
2306.00248,main.tex,acmart,[sigconf],0.0,0.0,0.0,False,False
2306.00613,main-arxiv.tex,article,[11pt],12.0,12.0,12.0,False,False
2306.00045,main.tex,article,[nohyperref],0.0,12.0,0.0,False,False
2306.00277,elsart-o18.tex,elsarticle,"[preprint,12pt]",0.0,0.0,0.0,False,False
2306.00089,main.tex,elsarticle,[3p],0.0,0.0,0.0,False,False
2306.01967,Ch1-HK.tex,article,"[a4paper,11pt]",0.0,0.0,0.0,False,False
2306.02188,chimeres_arxiv.tex,amsart,[12pt],0.0,0.0,0.0,False,False
2306.00279,final_submission1.tex,IEEEtran,"[letterpaper,journal,final,twocolumn]",12.0,12.0,12.0,False,False
2306.00883,Ryd.tex,revtex4-1,"[notitlepage,aps,prl,reprint,twocolumn,longbibliography,superscriptaddress]",0.0,0.0,0.0,False,False
2306.01358,templateArxiv.tex,article,,0.0,0.0,0.0,False,False
2306.00428,2306.00428,amsart,"[12pt, reqno]",0.0,0.0,0.0,False,False
2306.04271,main.tex,acmart,"[sigconf,authorversion,noacm]",12.0,12.0,12.0,False,False
2306.00073,anyon-dimer.tex,revtex4-2,"[prb,english,twocolumn,amsmath,amssymb,superscriptaddress]",12.0,12.0,12.0,False,False
2306.13656,main.tex,aastex631,[preprint2],0.0,0.0,0.0,False,False
2306.00417,spectral-density-arxiv.tex,revtex4-2,"[aps,pre,twocolumn,superscriptaddress,notitlepage]",0.0,0.0,0.0,False,False
2306.00474,2306.00474,amsart,"[a4paper,11pt]",0.0,0.0,0.0,False,False
2306.00010,main.tex,article,"[10pt,twocolumn,letterpaper]",0.0,0.0,0.0,False,False
2306.00222,ECJ-camera-ready.tex,article,[twoside],0.0,0.0,0.0,False,False
2306.05750,2306.05750,article,,0.0,0.0,0.0,False,False
2306.00679,2306.00679,amsart,"[reqno,11pt]",0.0,0.0,0.0,False,False
2306.01935,main.tex,oup-authoring-template,"[unnumsec,webpdf,modern,medium]",0.0,0.0,0.0,False,False
2306.00225,2306.00225,amsart,,0.0,0.0,0.0,False,False
2306.01793,mainV2.tex,article,[],0.0,12.0,12.0,False,False
2306.00641,ANA-EXOT-2018-64-PAPER.tex,atlasdoc,"[cernpreprint, atlasdraft=false, texlive=2020, UKenglish, texmf, orcidlogo]",0.0,,0.0,False,False
2306.00028,apssamp.tex,revtex4-2,"[%reprint,superscriptaddress,amsmath,amssymb,prl,floatfix,]",12.0,12.0,12.0,False,False
2306.00213,maintext.tex,article,"[11pt, a4paper]",0.0,0.0,0.0,False,False
2306.00822,IJPAM-2022-18.tex,article,"[twoside,11pt,leqno]",0.0,12.0,0.0,False,False
2306.00026,MERO_23.5.18.tex,jmlr,"[pmlr,11pt]",12.0,12.0,12.0,False,False
