time,expl,nn
0,6,6
1,5.999970013,5.96651847
2,5.907238095,5.855513769
3,5.79873359,5.720044198
4,5.658243154,5.590305626
5,5.490547669,5.474052074
6,5.410643208,5.372235183
7,5.301428483,5.282838222
8,5.248079959,5.204171858
9,5.160076354,5.134901537
10,5.055829891,5.073597357
11,4.996535431,5.019478453
12,4.971332091,4.970902963
13,4.938565924,4.926826308
14,4.882719141,4.887339805
15,4.830660372,4.851029041
16,4.826639738,4.817687726
17,4.790133133,4.787336866
18,4.773339412,4.759133092
19,4.736733465,4.732956098
20,4.692271867,4.70835288
21,4.723920978,4.685266834
22,4.644466302,4.663787042
23,4.59671499,4.643616492
24,4.659895722,4.625118635
25,4.591732,4.608482115
26,4.629609141,4.593398496
27,4.556232966,4.579797542
28,4.524699448,4.567493997
29,4.564884074,4.556669276
30,4.584368008,4.546734986
31,4.598645296,4.537756586
32,4.550612884,4.529907707
33,4.562789617,4.522442207
34,4.502847878,4.515604172
35,4.526152726,4.50942407
36,4.505705022,4.503692036
37,4.436466501,4.498595531
38,4.455755738,4.493780477
39,4.468736051,4.489141701
40,4.47548416,4.485016847
41,4.427150239,4.480980002
42,4.444098065,4.47730158
43,4.456204803,4.473947554
44,4.416713248,4.470798645
45,4.447520156,4.467918924
46,4.403344709,4.464966477
47,4.480713904,4.462456256
48,4.445260417,4.460343444
49,4.415876054,4.458440206
50,4.404313618,4.456511838
51,4.405282961,4.455083613
52,4.440459009,4.453657292
53,4.421041486,4.452148539
54,4.407760866,4.450966165
55,4.446565387,4.449678249
56,4.445231464,4.448582128
57,4.404624156,4.447561018
58,4.419689428,4.446627152
59,4.382960964,4.445360847
60,4.414421303,4.444496056
61,4.412567521,4.4437958
62,4.350492052,4.443055593
63,4.426944581,4.44211128
64,4.405435773,4.441464694
65,4.366349454,4.441051918
66,4.404310746,4.440437505
67,4.371747813,4.439903731
68,4.329391704,4.439467918
69,4.402055357,4.438747681
70,4.378366157,4.438362122
71,4.386924318,4.437944144
72,4.410408401,4.43732363
73,4.400952657,4.436792078
74,4.414547156,4.436228938
75,4.371006168,4.435917163
76,4.380610867,4.435477751
77,4.332857845,4.435137888
78,4.332758652,4.434622419
79,4.338502667,4.43436172
80,4.333854742,4.433953867
81,4.326147509,4.433464134
82,4.368598205,4.433175105
83,4.353412064,4.43241581
84,4.378894862,4.432163481
85,4.379109726,4.431744046
86,4.324159164,4.431285433
87,4.369254783,4.430601705
88,4.360813648,4.430238889
