0,n,e
0,0,-0.870449481
1,0.693147181,0.974442109
2,1.098612289,3.166704118
3,1.386294361,3.573048394
4,1.609437912,3.471360556
5,1.791759469,3.332416553
6,1.945910149,3.137907652
7,2.079441542,2.95865896
8,2.197224577,2.813109129
9,2.302585093,2.667883945
10,2.397895273,2.465647278
11,2.48490665,2.207702699
12,2.564949357,1.98558057
13,2.63905733,1.844593466
14,2.708050201,1.73486495
15,2.772588722,1.624807662
16,2.833213344,1.466665334
17,2.890371758,1.339852467
18,2.944438979,1.318563351
19,2.995732274,1.210640316
20,3.044522438,1.192977503
21,3.091042453,0.93752364
22,3.135494216,1.017020327
23,3.17805383,0.849583193
24,3.218875825,0.793628988
25,3.258096538,0.773666119
26,3.295836866,0.756678753
27,3.33220451,0.676000742
28,3.36729583,0.645706287
29,3.401197382,0.395237996
30,3.433987204,0.487878707
31,3.465735903,0.114825174
32,3.496507561,0.287967752
33,3.526360525,0.231517692
34,3.555348061,0.344835252
35,3.583518938,0.312302594
36,3.610917913,-0.055434782
37,3.63758616,0.171909042
38,3.663561646,0.171840909
39,3.688879454,-0.009198596
40,3.713572067,-0.152044916
41,3.737669618,-0.301168553
42,3.761200116,-0.468035779
43,3.784189634,-0.175933101
44,3.80666249,0.055363109
45,3.828641396,-0.396738192
46,3.850147602,-0.441443932
47,3.871201011,-0.349358537
48,3.891820298,-0.384231423
49,3.912023005,-0.413415117
50,3.931825633,-0.409992822
51,3.951243719,-0.549540987
52,3.970291914,-0.57900575
53,3.988984047,-0.882015051
54,4.007333185,-0.700360097
55,4.025351691,-0.719839458
56,4.043051268,-0.509769955
57,4.060443011,-0.479818977
58,4.077537444,-0.815918538
59,4.094344562,-0.60848363
60,4.110873864,-1.27194835
61,4.127134385,-0.767907444
62,4.143134726,-0.756825964
63,4.158883083,-0.32257362
64,4.17438727,-1.308212004
65,4.189654742,-1.000918304
66,4.204692619,-1.287483707
67,4.219507705,-0.759102313
68,4.234106505,-0.829674389
69,4.248495242,-0.682179712
70,4.262679877,-0.86392198
71,4.276666119,-0.68778917
72,4.290459441,-0.991114818
73,4.304065093,-0.655097678
74,4.317488114,-1.673900956
75,4.33073334,-1.224270702
76,4.343805422,-0.766204714
77,4.356708827,-1.149340365
78,4.369447852,-0.568261943
79,4.382026635,-0.591048364
80,4.394449155,-2.552422744
81,4.406719247,-0.944303192
82,4.418840608,-1.198207898
83,4.430816799,-0.593363159
84,4.442651256,-1.235065032
85,4.454347296,-0.451746145
86,4.465908119,-1.329573114
87,4.477336814,-0.849166837
88,4.48863637,-1.606650396
89,4.49980967,-2.235401362
90,4.510859507,-2.47866776
91,4.521788577,-1.788252442
92,4.532599493,-2.329080869
93,4.543294782,-0.647329628
94,4.553876892,-0.767674388
95,4.564348191,-0.915123163
96,4.574710979,-2.707882941
97,4.584967479,-1.81832035
98,4.59511985,-1.205897645
99,4.605170186,-1.178294687
100,4.615120517,-1.189843887
101,4.624972813,-2.297113411
102,4.634728988,-1.571935325
103,4.644390899,-0.893001889
104,4.65396035,-2.050574809
105,4.663439094,-1.496333638
106,4.672828834,-1.229831989
107,4.682131227,-1.530611071
108,4.691347882,-1.408593611
109,4.700480366,-1.03816332
110,4.709530201,-1.304055159
111,4.718498871,-2.056523201
112,4.727387819,-1.838887689
113,4.736198448,-1.05219266
114,4.744932128,-3.074796355
115,4.753590191,-1.520518307
116,4.762173935,-1.455698378
117,4.770684624,-1.001051683
118,4.779123493,-1.491738804
119,4.787491743,-1.591147272
120,4.795790546,-1.486154657
121,4.804021045,-0.728866627
122,4.812184355,-3.349447038
123,4.820281566,-1.917805433
124,4.828313737,-1.872096944
125,4.836281907,-1.71048379
126,4.844187086,-2.779873493
127,4.852030264,-3.790981599
128,4.859812404,-1.926164482
129,4.86753445,-1.202592837
130,4.875197323,-2.316245323
131,4.882801923,-1.119991822
132,4.890349128,-2.342480625
133,4.8978398,-1.742123236
134,4.905274778,-3.205250468
135,4.912654886,-3.791233426
136,4.919980926,-1.115330703
137,4.927253685,-0.905260179
138,4.934473933,-1.965481179
139,4.941642423,-2.144003501
140,4.94875989,-1.042412834
141,4.955827058,-2.662394085
142,4.96284463,-1.961570348
143,4.9698133,-1.674281045
144,4.976733742,-1.126074493
145,4.983606622,-1.619850941
146,4.990432587,-1.273884623
147,4.997212274,-2.436768466
148,5.003946306,-4.971707182
149,5.010635294,-1.292868613
