0,n,e
0,0,6.806317155
1,0.693147181,6.379175734
2,1.098612289,5.65028675
3,1.386294361,5.478189535
4,1.609437912,4.237914914
5,1.791759469,6.188693808
6,1.945910149,4.721353636
7,2.079441542,4.195557328
8,2.197224577,3.877990451
9,2.302585093,4.268329669
10,2.397895273,4.194958479
11,2.48490665,3.10214119
12,2.564949357,3.771965902
13,2.63905733,3.434076981
14,2.708050201,3.745234289
15,2.772588722,3.820383035
16,2.833213344,2.518007507
17,2.890371758,0.043451347
18,2.944438979,3.299696775
19,2.995732274,3.693091761
20,3.044522438,3.821545223
21,3.091042453,2.862175769
22,3.135494216,2.049354768
23,3.17805383,4.43067292
24,3.218875825,4.237349373
25,3.258096538,3.190543663
26,3.295836866,3.412563209
27,3.33220451,2.733007959
28,3.36729583,2.66703491
29,3.401197382,1.729964577
30,3.433987204,2.306568847
31,3.465735903,2.747333512
32,3.496507561,3.23145844
33,3.526360525,2.089697606
34,3.555348061,4.383137163
35,3.583518938,3.974878593
36,3.610917913,2.430503227
37,3.63758616,2.315665672
38,3.663561646,1.316023294
39,3.688879454,2.661493137
40,3.713572067,-0.065163717
41,3.737669618,0.702502695
42,3.761200116,1.462230843
43,3.784189634,2.366524527
44,3.80666249,2.736499088
45,3.828641396,3.959250379
46,3.850147602,3.658943628
47,3.871201011,1.435526206
48,3.891820298,2.636577975
49,3.912023005,3.033751516
50,3.931825633,2.818813575
51,3.951243719,1.322100833
52,3.970291914,2.467310936
53,3.988984047,1.981664638
54,4.007333185,2.875175773
55,4.025351691,3.422733818
56,4.043051268,3.135960098
57,4.060443011,3.297855768
58,4.077537444,2.814058456
59,4.094344562,2.035366046
60,4.110873864,2.684550318
61,4.127134385,1.866359961
62,4.143134726,2.049455402
63,4.158883083,-0.79650233
64,4.17438727,2.094329553
65,4.189654742,1.707009383
66,4.204692619,2.579247195
67,4.219507705,3.938290692
68,4.234106505,2.518865302
69,4.248495242,2.687918907
70,4.262679877,2.574094611
71,4.276666119,2.782232924
72,4.290459441,0.632961153
73,4.304065093,1.332904401
74,4.317488114,1.453155241
75,4.33073334,-0.013939478
76,4.343805422,0.783540284
77,4.356708827,1.971701216
78,4.369447852,2.611524602
79,4.382026635,2.80896138
80,4.394449155,2.664493146
81,4.406719247,2.608145335
82,4.418840608,0.035589579
83,4.430816799,2.682665617
84,4.442651256,1.58447561
85,4.454347296,3.177968377
86,4.465908119,2.258581672
87,4.477336814,2.014333197
88,4.48863637,2.513213151
89,4.49980967,2.147261036
90,4.510859507,1.724334843
91,4.521788577,2.470814493
92,4.532599493,2.139178246
93,4.543294782,2.785704241
94,4.553876892,-0.151805613
95,4.564348191,3.664433912
96,4.574710979,3.028173938
97,4.584967479,0.113585872
98,4.59511985,2.54823709
99,4.605170186,2.426598678
100,4.615120517,1.546616666
101,4.624972813,1.803860435
102,4.634728988,0.335599925
103,4.644390899,2.972394425
104,4.65396035,2.987725451
105,4.663439094,1.921536264
106,4.672828834,2.560471574
107,4.682131227,2.556890378
108,4.691347882,2.378408425
109,4.700480366,0.814374798
110,4.709530201,2.808668533
111,4.718498871,-0.994661458
112,4.727387819,3.234604025
113,4.736198448,2.805163915
114,4.744932128,2.954976398
115,4.753590191,2.041017386
116,4.762173935,0.010443325
117,4.770684624,1.834361129
118,4.779123493,1.847904865
119,4.787491743,2.736828081
120,4.795790546,2.50563156
121,4.804021045,2.702406048
122,4.812184355,2.257259258
123,4.820281566,1.792650186
124,4.828313737,2.56679186
125,4.836281907,2.643549874
126,4.844187086,2.486344011
127,4.852030264,2.040440043
128,4.859812404,2.484021248
129,4.86753445,0.717863611
130,4.875197323,1.010134994
131,4.882801923,2.724220832
132,4.890349128,2.365681382
133,4.8978398,0.687724791
134,4.905274778,0.939629532
135,4.912654886,2.356870732
136,4.919980926,2.671636742
137,4.927253685,2.310592499
138,4.934473933,0.513434522
139,4.941642423,0.185165815
140,4.94875989,1.857917924
141,4.955827058,2.077361132
142,4.96284463,1.112641028
143,4.9698133,2.179379668
144,4.976733742,2.380944444
145,4.983606622,1.067241543
146,4.990432587,3.346516365
147,4.997212274,1.90196176
148,5.003946306,1.536494376
149,5.010635294,2.635612508
